ICAO,id,ident,type,name,Weight,latitude_deg,longitude_deg,elevation_ft,iso_country,iso_region,municipality,Alaska Airlines,American Airlines,Allegiant Air,Frontier Airlines,JetBlue Airways,Delta Air Lines,United Airlines,SkyWest Airlines,Southwest Airlines,Hawaiian Airlines,airline_count
KMRY,3705,KMRY,medium_airport,Monterey Peninsula Airport,,36.5870018,-121.8430023,257,US,US-CA,Monterey,N,N,Y,N,N,N,N,Y,N,N,2
KMYR,3717,KMYR,medium_airport,Myrtle Beach International Airport,Focus,33.67969894,-78.92829895,25,US,US-SC,Myrtle Beach,N,N,Y,Y,N,Y,Y,N,N,N,4
KSWF,3911,KSWF,medium_airport,New York Stewart International Airport,,41.504101,-74.104797,491,US,US-NY,Newburgh,N,N,Y,N,Y,N,N,Y,N,N,3
KIAG,3603,KIAG,medium_airport,Niagara Falls International Airport,,43.1072998,-78.94619751,589,US,US-NY,Niagara Falls,N,N,Y,N,N,N,N,N,N,N,1
KOGD,3746,KOGD,medium_airport,Ogden Hinckley Airport,,41.19589996,-112.012001,4473,US,US-UT,Ogden,N,N,Y,N,N,N,N,N,N,N,1
KOGS,20727,KOGS,small_airport,Ogdensburg International Airport,,44.68190002,-75.46549988,297,US,US-NY,Ogdensburg,N,N,Y,N,N,N,N,N,N,N,1
KSFB,3876,KSFB,large_airport,Orlando Sanford International Airport,,28.77759933,-81.23750305,55,US,US-FL,Orlando,N,N,Y,N,N,N,N,N,N,N,1
KOWB,3761,KOWB,medium_airport,Owensboro Daviess County Airport,,37.74010086,-87.16680145,407,US,US-KY,Owensboro,N,N,Y,N,N,N,N,N,N,N,1
KPSC,20870,KPSC,medium_airport,Tri Cities Airport,,46.26470184,-119.1190033,410,US,US-WA,Pasco,N,N,Y,N,N,N,N,Y,N,N,2
KPIA,3773,KPIA,large_airport,General Wayne A. Downing Peoria International Airport,,40.66419983,-89.69329834,660,US,US-IL,Peoria,N,N,Y,N,N,N,N,Y,N,N,2
KIWA,3617,KIWA,medium_airport,Phoenix-Mesa-Gateway Airport,,33.30780029,-111.6549988,1382,US,US-AZ,Phoenix,N,N,Y,N,N,N,N,N,N,N,1
KPIE,3775,KPIE,medium_airport,St Petersburg Clearwater International Airport,Focus,27.91020012,-82.68740082,11,US,US-FL,St Petersburg-Clearwater,N,N,Y,N,N,N,N,N,N,N,1
KPBG,20808,KPBG,medium_airport,Plattsburgh International Airport,,44.65090179,-73.4681015,234,US,US-NY,Plattsburgh,N,N,Y,N,N,N,N,Y,N,N,2
KPSM,3791,KPSM,medium_airport,Portsmouth International at Pease Airport,,43.07789993,-70.82330322,100,US,US-NH,Portsmouth,N,N,Y,N,N,N,N,N,N,N,1
KPVD,3795,KPVD,large_airport,Theodore Francis Green State Airport,,41.732601,-71.420403,55,US,US-RI,Providence,N,N,Y,Y,Y,Y,Y,Y,Y,N,7
KPVU,20890,KPVU,medium_airport,Provo Municipal Airport,,40.21920013,-111.7229996,4497,US,US-UT,Provo,N,N,Y,N,N,N,N,N,N,N,1
KPGD,20822,KPGD,small_airport,Charlotte County Airport,Focus,26.92020035,-81.9905014,26,US,US-FL,Punta Gorda,N,N,Y,N,N,N,N,N,N,N,1
KRAP,3838,KRAP,medium_airport,Rapid City Regional Airport,,44.04529953,-103.0569992,3204,US,US-SD,Rapid City,N,N,Y,N,N,N,N,Y,N,N,2
KRDM,3843,KRDM,medium_airport,Roberts Field,,44.2541008,-121.1500015,3080,US,US-OR,Redmond,N,N,Y,N,N,N,Y,Y,N,N,3
KROA,3854,KROA,large_airport,Roanokeâ€“Blacksburg Regional Airport,,37.3255,-79.975403,1175,US,US-VA,Roanoke,N,N,Y,N,N,Y,N,Y,N,N,3
KSTC,3903,KSTC,medium_airport,St Cloud Regional Airport,,45.54660034,-94.05989838,1031,US,US-MN,St Cloud,N,N,Y,N,N,N,N,N,N,N,1
KSGU,21065,KSGU,medium_airport,St George Municipal Airport,,37.036389,-113.510306,2941,US,US-UT,St George,N,N,Y,N,N,N,N,Y,N,N,2
TJSJ,6384,TJSJ,large_airport,Luis Munoz Marin International Airport,Focus,18.43939972,-66.00180054,9,PR,PR-U-A,San Juan,N,N,Y,Y,Y,Y,Y,N,Y,N,6
KSMX,3893,KSMX,medium_airport,Santa Maria Pub/Capt G Allan Hancock Field,,34.89889908,-120.4570007,261,US,US-CA,Santa Maria,N,N,Y,N,N,N,N,N,N,N,1
KSAV,3864,KSAV,large_airport,Savannah Hilton Head International Airport,,32.12760162,-81.20210266,50,US,US-GA,Savannah,N,N,Y,Y,Y,Y,Y,Y,N,N,6
KSHV,3882,KSHV,medium_airport,Shreveport Regional Airport,,32.446602,-93.8256,258,US,US-LA,Shreveport,N,N,Y,N,N,N,N,Y,N,N,2
KFSD,3541,KFSD,medium_airport,Joe Foss Field Airport,,43.58200073,-96.74189758,1429,US,US-SD,Sioux Falls,N,N,Y,Y,N,Y,Y,Y,N,N,5
KSBN,3868,KSBN,large_airport,South Bend Regional Airport,,41.70869827,-86.31729889,799,US,US-IN,South Bend,N,N,Y,N,N,N,N,Y,N,N,2
KSPI,3897,KSPI,large_airport,Abraham Lincoln Capital Airport,,39.84410095,-89.67790222,598,US,US-IL,Springfield,N,N,Y,N,N,N,N,Y,N,N,2
KSGF,3879,KSGF,large_airport,Springfield Branson National Airport,,37.24570084,-93.38860321,1268,US,US-MO,Springfield,N,N,Y,N,N,Y,N,Y,N,N,3
KUNV,21300,KUNV,medium_airport,University Park Airport,,40.84930038,-77.84870148,1239,US,US-PA,State College,N,N,Y,N,N,N,N,Y,N,N,2
KSCK,3872,KSCK,medium_airport,Stockton Metropolitan Airport,,37.89419937,-121.237999,33,US,US-CA,Stockton,N,N,Y,N,N,N,N,N,N,N,1
KTVC,3933,KTVC,medium_airport,Cherry Capital Airport,,44.74140167,-85.5821991,624,US,US-MI,Traverse City,N,N,Y,N,N,Y,Y,Y,N,N,4
MSLP,4820,MSLP,large_airport,MonseÃ±or Ã“scar Arnulfo Romero International Airport,,13.4409,-89.055702,101,SV,SV-PA,San Salvador (San Luis Talpa),N,N,N,Y,N,Y,Y,N,N,N,3
MGGT,4644,MGGT,large_airport,La Aurora Airport,,14.5833,-90.527496,4952,GT,GT-GU,Guatemala City,N,N,N,Y,Y,Y,Y,N,N,N,4
KBTV,3430,KBTV,medium_airport,Burlington International Airport,,44.47190094,-73.15329742,335,US,US-VT,Burlington,N,N,N,Y,Y,Y,Y,N,N,N,4
KCOS,3463,KCOS,large_airport,City of Colorado Springs Municipal Airport,,38.805801,-104.700996,6187,US,US-CO,Colorado Springs,N,N,N,Y,N,Y,Y,Y,N,N,4
KGRB,3562,KGRB,large_airport,Austin Straubel International Airport,,44.48509979,-88.12960052,695,US,US-WI,Green Bay,N,N,N,Y,N,Y,N,Y,N,N,3
KHRL,3591,KHRL,medium_airport,Valley International Airport,,26.22850037,-97.65440369,36,US,US-TX,Harlingen,N,N,N,Y,N,Y,N,N,Y,N,3
KHSV,3594,KHSV,large_airport,Huntsville International Carl T Jones Field,,34.6371994,-86.77510071,629,US,US-AL,Huntsville,N,N,N,Y,N,Y,N,Y,N,N,3
KJAN,3619,KJAN,large_airport,Jackson-Medgar Wiley Evers International Airport,,32.31119919,-90.07589722,346,US,US-MS,Jackson,N,N,N,Y,N,Y,N,N,N,N,2
KISP,3616,KISP,medium_airport,Long Island Mac Arthur Airport,,40.79520035,-73.10019684,99,US,US-NY,Islip,N,N,N,Y,N,N,N,N,Y,N,2
KMSN,3707,KMSN,large_airport,Dane County Regional Truax Field,,43.13990021,-89.33750153,887,US,US-WI,Madison,N,N,N,Y,N,N,Y,Y,N,N,3
KMIA,3685,KMIA,large_airport,Miami International Airport,Hub,25.79319954,-80.29060364,8,US,US-FL,Miami,N,N,N,Y,N,Y,Y,N,N,N,3
KBFM,3403,KBFM,medium_airport,Mobile Downtown Airport,,30.62680054,-88.06809998,26,US,US-AL,Mobile,N,N,N,Y,N,N,N,N,N,N,1
KLGA,3643,KLGA,large_airport,La Guardia Airport,Hub,40.77719879,-73.87259674,21,US,US-NY,New York LGA,N,N,N,Y,Y,Y,Y,Y,Y,N,6
KTTN,3929,KTTN,medium_airport,Trenton Mercer Airport,Focus,40.27669907,-74.81349945,213,US,US-NJ,Trenton,N,N,N,Y,N,N,N,N,N,N,1
KTYR,3937,KTYR,medium_airport,Tyler Pounds Regional Airport,,32.35409927,-95.40239716,544,US,US-TX,Tyler,N,N,N,Y,N,N,N,N,N,N,1
KILG,3608,KILG,medium_airport,New Castle Airport,,39.67869949,-75.60649872,80,US,US-DE,Wilmington,N,N,N,Y,N,N,N,N,N,N,1
NSTU,4978,NSTU,medium_airport,Pago Pago International Airport,,-14.33100033,-170.7100067,32,AS,AS-U-A,Pago Pago,N,N,N,N,N,N,N,N,N,Y,1
YBBN,26901,YBBN,large_airport,Brisbane International Airport,,-27.38419914,153.1170044,13,AU,AU-QLD,Brisbane,N,N,N,N,N,N,N,N,N,Y,1
YSSY,27145,YSSY,large_airport,Sydney Kingsford Smith International Airport,,-33.94609833,151.177002,21,AU,AU-NSW,Sydney,N,N,N,N,N,Y,Y,N,N,Y,3
NTAA,4979,NTAA,large_airport,Faa'a International Airport,,-17.553699,-149.606995,5,PF,PF-U-A,Papeete,N,N,N,N,N,N,Y,N,N,Y,2
RJFF,5564,RJFF,large_airport,Fukuoka Airport,,33.58589935,130.451004,32,JP,JP-40,Fukuoka,N,N,N,N,N,N,Y,N,N,Y,2
RJBB,5536,RJBB,large_airport,Kansai International Airport,,34.4272995,135.2440033,26,JP,JP-27,Osaka,N,N,N,N,N,Y,Y,N,N,Y,3
RJCC,5544,RJCC,large_airport,New Chitose Airport,,42.77519989,141.6920013,82,JP,JP-01,Chitose / Tomakomai,N,N,N,N,N,N,N,N,N,Y,1
RJTT,5627,RJTT,large_airport,Tokyo Haneda International Airport,,35.552299,139.779999,35,JP,JP-13,Tokyo Haneda,N,N,N,N,N,Y,Y,N,N,Y,3
NZAA,5023,NZAA,large_airport,Auckland International Airport,,-37.0080986,174.7920074,23,NZ,NZ-AUK,Auckland,N,N,N,N,N,N,Y,N,N,Y,2
PHTO,5457,PHTO,medium_airport,Hilo International Airport,,19.72139931,-155.0480042,38,US,US-HI,Hilo,N,N,N,N,N,N,Y,N,Y,Y,3
PHMK,5450,PHMK,medium_airport,Molokai Airport,,21.1529007,-157.095993,454,US,US-HI,Kaunakakai,N,N,N,N,N,N,N,N,N,Y,1
PHJH,5446,PHJH,medium_airport,Kapalua Airport,,20.96290016,-156.6730042,256,US,US-HI,Lahaina,N,N,N,N,N,N,N,N,N,Y,1
PHNY,5454,PHNY,medium_airport,Lanai Airport,,20.78560066,-156.951004,1308,US,US-HI,Lanai City,N,N,N,N,N,N,N,N,N,Y,1
KLGB,3644,KLGB,medium_airport,Long Beach /Daugherty Field/ Airport,Focus,33.81769943,-118.1520004,60,US,US-CA,Long Beach,N,N,N,N,Y,Y,N,Y,Y,Y,5
TXKF,6416,TXKF,medium_airport,L.F. Wade International International Airport,,32.36399841,-64.67870331,12,BM,BM-U-A,Hamilton,N,N,N,N,Y,Y,Y,N,N,N,3
SKRG,6158,SKRG,medium_airport,Jose Maria CÃ³rdova International Airport,,6.16454,-75.4231,6955,CO,CO-ANT,Medellin,N,N,N,N,Y,N,N,N,N,N,1
TJBQ,6379,TJBQ,medium_airport,Rafael Hernandez Airport,,18.49489975,-67.12940216,237,PR,PR-U-A,Aguadilla,N,N,N,N,Y,N,Y,N,N,N,2
TNCC,6404,TNCC,medium_airport,Hato International Airport,,12.1889,-68.959801,29,CW,CW-U-A,Willemstad,N,N,N,N,Y,N,Y,N,N,N,2
MDPP,4637,MDPP,medium_airport,Gregorio Luperon International Airport,,19.75790024,-70.56999969,15,DO,DO-18,Puerto Plata,N,N,N,N,Y,N,Y,N,N,N,2
TFFR,6366,TFFR,large_airport,Pointe-Ã -Pitre Le Raizet,,16.265301,-61.531799,36,GP,GP-U-A,Pointe-a-Pitre,N,N,N,N,Y,N,N,N,N,N,1
TJPS,6383,TJPS,medium_airport,Mercedita Airport,,18.00830078,-66.56300354,29,PR,PR-U-A,Ponce,N,N,N,N,Y,N,N,N,N,N,1
MBPV,4628,MBPV,medium_airport,Providenciales Airport,,21.77359962,-72.26589966,15,TC,TC-PR,Providenciales Island,N,N,N,N,Y,Y,Y,N,Y,N,4
KHYA,3600,KHYA,medium_airport,Barnstable Municipal Boardman Polando Field,,41.66930008,-70.28040314,54,US,US-MA,Hyannis,N,N,N,N,Y,N,N,N,N,N,1
KMVY,20578,KMVY,small_airport,Martha's Vineyard Airport,,41.39310074,-70.61430359,67,US,US-MA,Martha's Vineyard,N,N,N,N,Y,N,N,N,N,N,1
KACK,3360,KACK,medium_airport,Nantucket Memorial Airport,,41.25310135,-70.06020355,47,US,US-MA,Nantucket,N,N,N,N,Y,N,N,N,N,N,1
KHPN,3589,KHPN,medium_airport,Westchester County Airport,,41.06700134,-73.70760345,439,US,US-NY,White Plains,N,N,N,N,Y,Y,N,Y,N,N,3
LGAV,4251,LGAV,large_airport,Eleftherios Venizelos International Airport,,37.93640137,23.94449997,308,GR,GR-A1,Athens,N,N,N,N,N,Y,Y,N,N,N,2
KAGS,3368,KAGS,large_airport,Augusta Regional At Bush Field,,33.36989975,-81.96450043,144,US,US-GA,Augusta,N,N,N,N,N,Y,N,Y,N,N,2
MNMG,4774,MNMG,medium_airport,Augusto C. Sandino (Managua) International Airport,,12.14150047,-86.16819763,194,NI,NI-MN,Managua,N,N,N,N,N,Y,Y,N,N,N,2
LEBL,4004,LEBL,large_airport,Barcelona International Airport,,41.2971,2.07846,12,ES,ES-CT,Barcelona,N,N,N,N,N,Y,Y,N,N,N,2
ZBAD,330820,ZBAD,large_airport,Beijing Daxing International Airport,,39.509945,116.41092,98,CN,CN-13,Beijing,N,N,N,N,N,Y,N,N,N,N,1
LLBG,4411,LLBG,large_airport,Ben Gurion International Airport,,32.01139832,34.88669968,135,IL,IL-M,Tel Aviv,N,N,N,N,N,Y,Y,N,N,N,2
KBHM,3406,KBHM,large_airport,Birmingham-Shuttlesworth International Airport,,33.56290054,-86.75350189,650,US,US-AL,Birmingham,N,N,N,N,N,Y,N,Y,Y,N,3
GOBD,325736,GOBD,large_airport,Blaise Diagne International Airport,,14.67,-17.073333,290,SN,SN-DK,Dakar,N,N,N,N,N,Y,N,N,N,N,1
EBBR,2155,EBBR,large_airport,Brussels Airport,,50.90140152,4.48443985,184,BE,BE-BRU,Brussels,N,N,N,N,N,Y,Y,N,N,N,2
LFPG,4185,LFPG,large_airport,Charles de Gaulle International Airport,,49.012798,2.55,392,FR,FR-IDF,Paris,N,N,N,N,N,Y,Y,N,N,N,2
KCHO,3449,KCHO,medium_airport,Charlottesville Albemarle Airport,,38.1385994,-78.45290375,639,US,US-VA,Charlottesville,N,N,N,N,N,Y,N,N,N,N,1
VABB,26434,VABB,large_airport,Chhatrapati Shivaji International Airport,,19.08869934,72.86789703,39,IN,IN-MM,Mumbai,N,N,N,N,N,Y,Y,N,N,N,2
RJGG,5576,RJGG,large_airport,Chubu Centrair International Airport,,34.85839844,136.8049927,15,JP,JP-23,Tokoname,N,N,N,N,N,Y,Y,N,N,N,2
KCAE,3438,KCAE,large_airport,Columbia Metropolitan Airport,,33.93880081,-81.11949921,236,US,US-SC,Columbia,N,N,N,N,N,Y,N,Y,N,N,2
SCEL,6015,SCEL,large_airport,Comodoro Arturo Merino BenÃ­tez International Airport,,-33.39300156,-70.78579712,1555,CL,CL-RM,Santiago,N,N,N,N,N,Y,Y,N,N,N,2
EKCH,2542,EKCH,large_airport,Copenhagen Kastrup Airport,,55.61790085,12.65600014,17,DK,DK-84,Copenhagen,N,N,N,N,N,Y,N,N,N,N,1
KMQI,20554,KMQI,small_airport,Dare County Regional Airport,,35.91899872,-75.69550323,13,US,US-NC,Manteo,N,N,N,N,N,Y,N,N,N,N,1
KDAB,3478,KDAB,large_airport,Daytona Beach International Airport,,29.179899,-81.058098,34,US,US-FL,Daytona Beach,N,N,N,N,N,Y,N,N,N,N,1
EDDL,2217,EDDL,large_airport,DÃ¼sseldorf Airport,,51.289501,6.76678,147,DE,DE-NW,Dusseldorf,N,N,N,N,N,Y,N,N,N,N,1
CYEG,1717,CYEG,large_airport,Edmonton International Airport,,53.30970001,-113.5800018,2373,CA,CA-AB,Edmonton,N,N,N,N,N,Y,Y,Y,N,N,3
MYEF,4939,MYEF,medium_airport,Exuma International Airport,,23.56259918,-75.87799835,9,BS,BS-EX,George Town,N,N,N,N,N,Y,N,N,N,N,1
KFAY,3525,KFAY,medium_airport,Fayetteville Regional Grannis Field,,34.99119949,-78.88030243,189,US,US-NC,Fayetteville,N,N,N,N,N,Y,N,N,N,N,1
LL40,21594,LL40,closed,Frankfort Airport,,41.477501,-87.8405,778,US,US-IL,Frankfort,N,N,N,N,N,Y,N,N,N,N,1
KGNV,3559,KGNV,medium_airport,Gainesville Regional Airport,,29.69009972,-82.27179718,152,US,US-FL,Gainesville,N,N,N,N,N,Y,N,Y,N,N,2
EGKK,2429,EGKK,large_airport,London Gatwick Airport,,51.148102,-0.190278,202,GB,GB-ENG,London Gatwick,N,N,N,N,N,Y,N,N,N,N,1
MMMY,4732,MMMY,large_airport,General Mariano Escobedo International Airport,,25.7784996,-100.1070023,1278,MX,MX-NLE,Monterrey,N,N,N,N,N,Y,N,Y,N,N,2
EGPF,2461,EGPF,large_airport,Glasgow International Airport,,55.871899,-4.43306,26,GB,GB-SCT,Glasgow,N,N,N,N,N,Y,Y,N,N,N,2
EDDH,2214,EDDH,large_airport,Hamburg Airport,,53.63040161,9.988229752,53,DE,DE-HH,Hamburg,N,N,N,N,N,Y,N,N,N,N,1
EGLL,2434,EGLL,large_airport,London Heathrow Airport,,51.4706,-0.461941,83,GB,GB-ENG,London Heathrow,N,N,N,N,N,Y,Y,N,N,N,2
MHRO,4663,MHRO,medium_airport,Juan Manuel Galvez International Airport,,16.316799,-86.523003,39,HN,HN-IB,Roatan Island,N,N,N,N,N,Y,Y,N,N,N,2
BIKF,123,BIKF,large_airport,Keflavik International Airport,,63.985001,-22.6056,171,IS,IS-2,Reykjavik,N,N,N,N,N,Y,Y,N,N,N,2
KEYW,3522,KEYW,medium_airport,Key West International Airport,,24.55610085,-81.75959778,3,US,US-FL,Key West,N,N,N,N,N,Y,N,N,N,N,1
DGAA,2090,DGAA,large_airport,Kotoka International Airport,,5.6051898,-0.1667860001,205,GH,GH-AA,Accra,N,N,N,N,N,Y,N,N,N,N,1
LPPT,4461,LPPT,large_airport,Humberto Delgado Airport (Lisbon Portela Airport),,38.7813,-9.13592,374,PT,PT-11,Lisbon,N,N,N,N,N,Y,Y,N,N,N,2
KMHT,3684,KMHT,large_airport,Manchester-Boston Regional Airport,,42.932598,-71.435699,266,US,US-NH,Manchester,N,N,N,N,N,Y,N,Y,Y,N,3
TGPY,6367,TGPY,medium_airport,Point Salines International Airport,,12.00419998,-61.78620148,41,GD,GD-GE,Saint George's,N,N,N,N,N,Y,N,N,N,N,1
KMLB,3693,KMLB,medium_airport,Melbourne International Airport,,28.10280037,-80.64530182,33,US,US-FL,Melbourne,N,N,N,N,N,Y,N,N,N,N,1
MMMX,4731,MMMX,large_airport,Licenciado Benito Juarez International Airport,,19.4363,-99.072098,7316,MX,MX-DIF,Mexico City,N,N,N,N,N,Y,Y,N,N,N,2
LIMC,4340,LIMC,large_airport,Malpensa International Airport,,45.6306,8.72811,768,IT,IT-25,Milan,N,N,N,N,N,Y,Y,N,N,N,2
KMOB,3700,KMOB,large_airport,Mobile Regional Airport,,30.69120026,-88.24279785,219,US,US-AL,Mobile,N,N,N,N,N,Y,N,Y,N,N,2
CYUL,1928,CYUL,large_airport,Montreal / Pierre Elliott Trudeau International Airport,,45.47060013,-73.74079895,118,CA,CA-QC,Montreal,N,N,N,N,N,Y,N,Y,N,N,2
DNMM,2118,DNMM,large_airport,Murtala Muhammed International Airport,,6.577370167,3.321160078,135,NG,NG-LA,Lagos,N,N,N,N,N,Y,N,N,N,N,1
KPHF,3770,KPHF,large_airport,Newport News Williamsburg International Airport,,37.13190079,-76.49299622,42,US,US-VA,Newport News,N,N,N,N,N,Y,N,N,N,N,1
LFMN,4156,LFMN,large_airport,Nice-CÃ´te d'Azur Airport,,43.65840149,7.215869904,12,FR,FR-PAC,Nice,N,N,N,N,N,Y,Y,N,N,N,2
RPLL,5689,RPLL,large_airport,Ninoy Aquino International Airport,,14.5086,121.019997,75,PH,PH-U-A,Manila,N,N,N,N,N,Y,Y,N,N,N,2
KECP,46530,KECP,medium_airport,Northwest Florida Beaches International Airport,,30.357106,-85.795414,69,US,US-FL,Panama City Beach,N,N,N,N,N,Y,N,N,Y,N,2
KSGJ,21061,KSGJ,medium_airport,Northeast Florida Regional Airport,,29.9592,-81.339798,10,US,US-FL,St Augustine,N,N,N,N,N,Y,N,N,N,N,1
FAOR,31055,FAOR,large_airport,OR Tambo International Airport,,-26.1392,28.246,5558,ZA,ZA-GT,Johannesburg,N,N,N,N,N,Y,N,N,N,N,1
SKCG,6109,SKCG,medium_airport,Rafael NuÃ±ez International Airport,,10.4424,-75.513,4,CO,CO-BOL,Cartagena,N,N,N,N,N,Y,N,N,N,N,1
MHLM,4661,MHLM,medium_airport,RamÃ³n Villeda Morales International Airport,,15.4526,-87.923599,91,HN,HN-CR,San Pedro Sula,N,N,N,N,N,Y,Y,N,N,N,2
SBGL,5906,SBGL,large_airport,Rio GaleÃ£o â€“ Tom Jobim International Airport,,-22.80999947,-43.25055695,28,BR,BR-RJ,Rio De Janeiro,N,N,N,N,N,Y,Y,N,N,N,2
PTRO,5501,PTRO,medium_airport,Babelthuap Airport,,7.36731,134.544236,176,PW,PW-004,Babelthuap Island,N,N,N,N,N,Y,Y,N,N,N,2
SBGR,5910,SBGR,large_airport,Guarulhos - Governador AndrÃ© Franco Montoro International Airport,,-23.43555641,-46.47305679,2459,BR,BR-SP,Sao Paulo,N,N,N,N,N,Y,Y,N,N,N,2
CYXE,1957,CYXE,medium_airport,Saskatoon John G. Diefenbaker International Airport,,52.17079926,-106.6999969,1653,CA,CA-SK,Saskatoon,N,N,N,N,N,Y,N,Y,N,N,2
ZSPD,27223,ZSPD,large_airport,Shanghai Pudong International Airport,,31.14340019,121.8050003,13,CN,CN-31,Shanghai,N,N,N,N,N,Y,Y,N,N,N,2
EDDS,2222,EDDS,large_airport,Stuttgart Airport,,48.68989944,9.221960068,1276,DE,DE-BW,Stuttgart,N,N,N,N,N,Y,N,N,N,N,1
KTLH,3924,KTLH,large_airport,Tallahassee Regional Airport,,30.39649963,-84.35030365,81,US,US-FL,Tallahassee,N,N,N,N,N,Y,N,N,N,N,1
CYYZ,1990,CYYZ,large_airport,Lester B. Pearson International Airport,,43.67720032,-79.63059998,569,CA,CA-ON,Toronto,N,N,N,N,N,Y,Y,Y,N,N,3
KAVP,3388,KAVP,medium_airport,Wilkes Barre Scranton International Airport,,41.33850098,-75.7233963,962,US,US-PA,Wilkes-Barre/Scranton,N,N,N,N,N,Y,N,Y,N,N,2
CYWG,1946,CYWG,large_airport,Winnipeg / James Armstrong Richardson International Airport,,49.90999985,-97.23989868,783,CA,CA-MB,Winnipeg,N,N,N,N,N,Y,N,Y,N,N,2
KCRW,3467,KCRW,large_airport,Yeager Airport,,38.37310028,-81.59320068,981,US,US-WV,Charleston,N,N,N,N,N,Y,N,Y,N,N,2
LSZH,4505,LSZH,large_airport,ZÃ¼rich Airport,,47.464699,8.54917,1416,CH,CH-ZH,Zurich,N,N,N,N,N,Y,Y,N,N,N,2
PGUM,5433,PGUM,large_airport,Antonio B. Won Pat International Airport,Hub,13.48340034,144.7960052,298,GU,GU-U-A,Guam,N,N,N,N,N,N,Y,N,N,N,1
ZBAA,27188,ZBAA,large_airport,Beijing Capital International Airport,,40.08010101,116.5849991,116,CN,CN-11,Beijing,N,N,N,N,N,N,Y,N,N,N,1
PKWA,5490,PKWA,medium_airport,Bucholz Army Air Field,,8.72012043,167.7319946,9,MH,MH-KWA,Kwajalein,N,N,N,N,N,N,Y,N,N,N,1
FACT,2775,FACT,large_airport,Cape Town International Airport,,-33.96480179,18.60169983,151,ZA,ZA-WC,Cape Town,N,N,N,N,N,N,Y,N,N,N,1
ZUUU,27230,ZUUU,large_airport,Chengdu Shuangliu International Airport,,30.57850075,103.9469986,1625,CN,CN-51,Chengdu,N,N,N,N,N,N,Y,N,N,N,1
PTKK,5499,PTKK,medium_airport,Chuuk International Airport,,7.461870193,151.8430023,11,FM,FM-TRK,Weno Island,N,N,N,N,N,N,Y,N,N,N,1
MMLO,4722,MMLO,medium_airport,Del BajÃ­o International Airport,,20.9935,-101.481003,5956,MX,MX-GUA,Silao,N,N,N,N,N,N,Y,Y,N,N,2
LICJ,4321,LICJ,large_airport,Falconeâ€“Borsellino Airport,,38.175999,13.091,65,IT,IT-82,Palermo,N,N,N,N,N,N,Y,N,N,N,1
LPPR,4459,LPPR,large_airport,Francisco de SÃ¡ Carneiro Airport,,41.24810028,-8.681389809,228,PT,PT-13,Porto,N,N,N,N,N,N,Y,N,N,N,1
EDDF,2212,EDDF,large_airport,Frankfurt am Main Airport,,50.033333,8.570556,364,DE,DE-HE,Frankfurt am Main,N,N,N,N,N,N,Y,N,N,N,1
LSGG,4490,LSGG,large_airport,Geneva Cointrin International Airport,,46.23809814,6.108950138,1411,CH,CH-GE,Geneva,N,N,N,N,N,N,Y,N,N,N,1
VHHH,26535,VHHH,large_airport,Hong Kong International Airport,,22.308901,113.915001,28,HK,HK-U-A,Hong Kong,N,N,N,N,N,N,Y,N,N,N,1
VIDP,26555,VIDP,large_airport,Indira Gandhi International Airport,,28.5665,77.103104,777,IN,IN-DL,New Delhi,N,N,N,N,N,N,Y,N,N,N,1
PTSA,5502,PTSA,medium_airport,Kosrae International Airport,,5.35698,162.957993,11,FM,FM-KSA,Okat,N,N,N,N,N,N,Y,N,N,N,1
MMMD,4726,MMMD,medium_airport,Licenciado Manuel Crescencio Rejon Int Airport,,20.93700027,-89.65769959,38,MX,MX-YUC,Merida,N,N,N,N,N,N,Y,N,N,N,1
PKMJ,5488,PKMJ,medium_airport,Marshall Islands International Airport,,7.064760208,171.2720032,6,MH,MH-MAJ,Majuro Atoll,N,N,N,N,N,N,Y,N,N,N,1
CNM2,1321,CNM2,small_airport,Melbourne Airport,,42.82419968,-81.54859924,735,CA,CA-ON,Melbourne,N,N,N,N,N,N,Y,N,N,N,1
KMAF,3663,KMAF,medium_airport,Midland International Airport,,31.94249916,-102.2020035,2871,US,US-TX,Midland,N,N,N,N,N,N,Y,Y,Y,N,3
LIRN,4378,LIRN,large_airport,Naples International Airport,,40.886002,14.2908,294,IT,IT-72,Napoli,N,N,N,N,N,N,Y,N,N,N,1
PTPN,5500,PTPN,medium_airport,Pohnpei International Airport,,6.985099792,158.2089996,10,FM,FM-PNI,Pohnpei Island,N,N,N,N,N,N,Y,N,N,N,1
KRST,3857,KRST,large_airport,Rochester International Airport,,43.90829849,-92.5,1317,US,US-MN,Rochester,N,N,N,N,N,N,Y,Y,N,N,2
WSSS,26887,WSSS,large_airport,Singapore Changi Airport,,1.35019,103.994003,22,SG,SG-04,Singapore,N,N,N,N,N,N,Y,N,N,N,1
ESSA,2701,ESSA,large_airport,Stockholm-Arlanda Airport,,59.65190125,17.91860008,137,SE,SE-AB,Stockholm,N,N,N,N,N,N,Y,N,N,N,1
RCTP,5528,RCTP,large_airport,Taiwan Taoyuan International Airport,,25.0777,121.233002,106,TW,TW-TAO,Taipei,N,N,N,N,N,N,Y,N,N,N,1
PTYA,5503,PTYA,medium_airport,Yap International Airport,,9.49891,138.082993,91,FM,FM-YAP,Yap Island,N,N,N,N,N,N,Y,N,N,N,1
